"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd08"
"000001","2017-01-03","3105.309","3136.456","3105.309","3135.921","1.040200"
"000001","2017-01-04","3133.787","3160.103","3130.115","3158.794","0.729400"
"000001","2017-01-05","3157.906","3168.502","3154.281","3165.411","0.209500"
"000001","2017-01-06","3163.776","3172.035","3153.025","3154.321","-0.350300"
"000001","2017-01-09","3148.532","3173.136","3147.735","3171.236","0.536200"
"000001","2017-01-10","3167.570","3174.578","3157.332","3161.671","-0.301600"
"000001","2017-01-11","3156.686","3167.029","3136.267","3136.754","-0.788100"
"000001","2017-01-12","3133.602","3144.970","3115.979","3119.289","-0.556800"
"000001","2017-01-13","3116.083","3130.515","3102.163","3112.764","-0.209200"
"000001","2017-01-16","3104.492","3105.142","3044.291","3103.428","-0.299900"
"000001","2017-01-17","3087.030","3108.907","3072.338","3108.775","0.172300"
"000001","2017-01-18","3104.766","3123.720","3098.586","3113.012","0.136300"
"000001","2017-01-19","3104.972","3115.778","3094.006","3101.299","-0.376300"
"000001","2017-01-20","3095.819","3125.660","3095.215","3123.139","0.704200"
"000001","2017-01-23","3125.421","3145.841","3125.421","3136.775","0.436600"
"000001","2017-01-24","3134.592","3149.531","3131.218","3142.553","0.184200"
"000001","2017-01-25","3137.646","3151.472","3133.191","3149.555","0.222800"
"000001","2017-01-26","3149.217","3163.104","3148.908","3159.166","0.305200"
"000001","2017-02-03","3160.082","3162.677","3136.013","3140.170","-0.601300"
"000001","2017-02-06","3143.093","3158.843","3135.387","3156.984","0.535400"
"000001","2017-02-07","3154.405","3159.544","3140.036","3153.088","-0.123400"
"000001","2017-02-08","3148.086","3167.447","3132.033","3166.982","0.440600"
"000001","2017-02-09","3164.688","3186.838","3162.574","3183.179","0.511400"
"000001","2017-02-10","3183.007","3205.049","3182.802","3196.699","0.424700"
"000001","2017-02-13","3198.995","3219.407","3198.995","3216.839","0.630000"
"000001","2017-02-14","3216.137","3219.405","3205.285","3217.928","0.033900"
"000001","2017-02-15","3215.464","3235.998","3206.561","3212.986","-0.153600"
"000001","2017-02-16","3210.357","3230.275","3207.785","3229.618","0.517600"
"000001","2017-02-17","3227.707","3238.396","3199.425","3202.076","-0.852800"
"000001","2017-02-20","3198.963","3241.458","3198.963","3239.961","1.183100"
"000001","2017-02-21","3242.223","3254.336","3239.878","3253.326","0.412500"
"000001","2017-02-22","3252.690","3261.381","3243.840","3261.218","0.242600"
"000001","2017-02-23","3258.832","3264.082","3236.355","3251.375","-0.301800"
"000001","2017-02-24","3246.860","3253.956","3233.535","3253.433","0.063300"
"000001","2017-02-27","3249.195","3251.654","3224.088","3228.660","-0.761400"
"000001","2017-02-28","3225.969","3242.679","3225.969","3241.733","0.404900"
"000001","2017-03-01","3240.073","3259.978","3237.871","3246.934","0.160400"
"000001","2017-03-02","3250.518","3256.807","3228.665","3230.028","-0.520700"
"000001","2017-03-03","3219.202","3221.155","3206.613","3218.312","-0.362700"
"000001","2017-03-06","3217.335","3234.663","3215.067","3233.866","0.483300"
"000001","2017-03-07","3233.094","3242.659","3226.822","3242.406","0.264100"
"000001","2017-03-08","3240.532","3245.304","3230.608","3240.665","-0.053700"
"000001","2017-03-09","3233.701","3233.875","3205.279","3216.746","-0.738100"
"000001","2017-03-10","3213.729","3222.319","3208.447","3212.760","-0.123900"
"000001","2017-03-13","3209.449","3237.121","3193.157","3237.024","0.755200"
"000001","2017-03-14","3235.252","3246.329","3231.521","3239.328","0.071200"
"000001","2017-03-15","3235.403","3243.713","3227.738","3241.760","0.075100"
"000001","2017-03-16","3247.163","3269.770","3247.163","3268.935","0.838300"
"000001","2017-03-17","3271.867","3274.190","3232.281","3237.447","-0.963200"
"000001","2017-03-20","3241.110","3251.127","3228.118","3250.808","0.412700"
"000001","2017-03-21","3250.247","3262.221","3246.696","3261.611","0.332300"
"000001","2017-03-22","3246.223","3255.778","3229.128","3245.220","-0.502500"
"000001","2017-03-23","3245.808","3262.091","3221.934","3248.550","0.102600"
"000001","2017-03-24","3247.350","3275.207","3241.123","3269.445","0.643200"
"000001","2017-03-27","3268.924","3283.239","3262.118","3266.955","-0.076200"
"000001","2017-03-28","3265.634","3265.634","3246.086","3252.948","-0.428700"
"000001","2017-03-29","3252.865","3262.098","3233.280","3241.314","-0.357600"
"000001","2017-03-30","3235.137","3240.017","3195.852","3210.237","-0.958800"
"000001","2017-03-31","3206.253","3226.248","3205.537","3222.514","0.382400"
"000001","2017-04-05","3235.660","3270.645","3233.237","3270.305","1.483000"
"000001","2017-04-06","3272.193","3286.674","3265.765","3281.005","0.327200"
"000001","2017-04-07","3280.624","3295.187","3275.051","3286.616","0.171000"
"000001","2017-04-10","3285.459","3285.459","3265.012","3269.393","-0.524000"
"000001","2017-04-11","3266.222","3290.389","3244.405","3288.966","0.598700"
"000001","2017-04-12","3283.837","3284.934","3262.277","3273.830","-0.460200"
"000001","2017-04-13","3265.218","3281.137","3261.490","3275.960","0.065100"
"000001","2017-04-14","3276.138","3276.711","3238.896","3246.067","-0.912500"
"000001","2017-04-17","3229.949","3229.949","3199.912","3222.167","-0.736300"
"000001","2017-04-18","3215.396","3225.055","3196.488","3196.713","-0.790000"
"000001","2017-04-19","3184.666","3189.437","3147.066","3170.687","-0.814100"
"000001","2017-04-20","3165.665","3178.183","3148.184","3172.100","0.044600"
"000001","2017-04-21","3170.290","3180.794","3158.629","3173.151","0.033100"
"000001","2017-04-24","3164.248","3164.248","3111.215","3129.531","-1.374700"
"000001","2017-04-25","3123.894","3145.267","3117.449","3134.567","0.160900"
"000001","2017-04-26","3132.918","3152.953","3131.418","3140.847","0.200300"
