"Indexcd","Month","Opnidx","Highidx","Lowidx","Clsidx","Idxrtn"
"000001","1990-12","96.050","127.610","95.790","127.610","0.000000"
"000001","1991-01","127.610","135.190","127.610","129.970","0.018494"
"000001","1991-02","129.500","134.870","128.060","133.010","0.023390"
"000001","1991-03","132.530","132.530","120.110","120.190","-0.096384"
"000001","1991-04","120.690","122.200","113.890","113.940","-0.052001"
"000001","1991-05","113.040","114.830","104.960","114.830","0.007811"
"000001","1991-06","115.900","137.560","114.890","137.560","0.197945"
"000001","1991-07","136.640","143.800","131.870","143.800","0.045362"
"000001","1991-08","145.120","178.430","143.800","178.430","0.240821"
"000001","1991-09","180.080","191.180","178.430","180.920","0.013955"
"000001","1991-10","181.550","218.600","179.800","218.600","0.208269"
"000001","1991-11","220.710","259.850","218.600","259.600","0.187557"
"000001","1991-12","261.780","292.750","259.670","292.750","0.127696"
"000001","1992-01","293.740","313.240","292.760","313.240","0.069991"
"000001","1992-02","314.180","364.670","313.240","364.660","0.164155"
"000001","1992-03","365.150","382.060","364.660","381.240","0.045467"
"000001","1992-04","381.550","448.940","381.010","445.380","0.168240"
"000001","1992-05","454.860","1429.010","439.960","1234.710","1.772262"
"000001","1992-06","1175.690","1249.580","1033.470","1191.190","-0.035247"
"000001","1992-07","1199.540","1215.240","961.610","1052.070","-0.116791"
"000001","1992-08","1034.700","1060.360","627.360","823.270","-0.217476"
"000001","1992-09","826.960","832.840","595.420","702.320","-0.146914"
"000001","1992-10","676.470","713.770","447.930","507.250","-0.277751"
"000001","1992-11","471.180","752.320","386.850","724.600","0.428487"
"000001","1992-12","718.990","841.020","592.780","780.390","0.076994"
"000001","1993-01","784.130","1198.480","777.160","1198.480","0.535745"
"000001","1993-02","1242.350","1558.950","1196.470","1339.880","0.117983"
"000001","1993-03","1328.220","1339.100","913.740","925.910","-0.308961"
"000001","1993-04","921.590","1392.620","915.590","1358.780","0.467508"
"000001","1993-05","1365.150","1380.500","930.640","935.480","-0.311529"
"000001","1993-06","935.900","1177.910","859.480","1007.050","0.076506"
"000001","1993-07","1000.800","1009.890","777.730","881.070","-0.125098"
"000001","1993-08","885.310","1042.470","823.000","895.680","0.016582"
"000001","1993-09","898.010","947.530","864.380","890.270","-0.006040"
"000001","1993-10","895.690","934.400","774.540","814.820","-0.084750"
"000001","1993-11","801.860","1011.760","793.320","984.930","0.208770"
"000001","1993-12","993.670","1044.850","750.460","833.800","-0.153442"
"000001","1994-01","837.700","907.090","760.780","770.250","-0.076217"
"000001","1994-02","770.250","818.570","749.630","770.980","0.000948"
"000001","1994-03","771.520","807.520","694.030","704.460","-0.086280"
"000001","1994-04","704.930","705.410","536.340","592.560","-0.158845"
"000001","1994-05","593.940","620.940","537.780","556.260","-0.061260"
"000001","1994-06","554.080","556.900","458.740","469.290","-0.156348"
"000001","1994-07","469.270","469.430","325.890","333.920","-0.288457"
"000001","1994-08","394.870","787.220","377.970","785.330","1.351851"
"000001","1994-09","785.610","1052.940","785.560","791.150","0.007411"
"000001","1994-10","770.900","794.850","546.790","654.980","-0.172117"
"000001","1994-11","667.660","743.220","648.680","683.590","0.043681"
"000001","1994-12","684.020","695.220","620.470","647.870","-0.052254"
"000001","1995-01","637.720","657.450","547.380","562.590","-0.131631"
"000001","1995-02","559.780","608.580","524.420","549.260","-0.023694"
"000001","1995-03","548.910","648.040","545.720","646.920","0.177803"
"000001","1995-04","651.040","681.150","547.210","579.930","-0.103552"
"000001","1995-05","576.690","926.410","564.860","700.510","0.207922"
"000001","1995-06","703.720","722.300","625.700","630.580","-0.099827"
"000001","1995-07","623.140","723.680","610.330","695.550","0.103032"
"000001","1995-08","697.220","788.160","688.650","723.870","0.040716"
"000001","1995-09","726.050","792.540","699.100","722.430","-0.001989"
"000001","1995-10","724.040","765.480","693.860","717.320","-0.007073"
"000001","1995-11","716.460","736.910","632.030","641.140","-0.106201"
"000001","1995-12","631.550","643.360","552.840","555.290","-0.133902"
"000001","1996-01","550.260","561.360","512.830","537.350","-0.032307"
"000001","1996-02","536.240","553.830","518.180","552.940","0.029013"
"000001","1996-03","583.380","606.510","549.720","556.390","0.006239"
"000001","1996-04","566.210","739.290","556.230","681.160","0.224249"
"000001","1996-05","715.970","725.160","630.420","643.650","-0.055068"
"000001","1996-06","643.960","819.840","636.460","804.250","0.249514"
"000001","1996-07","800.910","894.730","753.640","822.480","0.022667"
"000001","1996-08","823.170","894.860","766.700","809.940","-0.015247"
"000001","1996-09","812.940","875.530","752.680","875.530","0.080981"
"000001","1996-10","887.850","1038.810","852.830","976.710","0.115564"
"000001","1996-11","935.170","1047.390","896.880","1032.950","0.057581"
"000001","1996-12","1056.680","1258.690","855.850","917.020","-0.112232"
"000001","1997-01","914.060","967.900","871.780","964.740","0.052038"
"000001","1997-02","969.530","1040.330","870.180","1040.270","0.078291"
"000001","1997-03","1044.610","1234.960","1043.930","1234.620","0.186826"
"000001","1997-04","1243.870","1396.480","1222.560","1393.750","0.128890"
"000001","1997-05","1398.140","1510.180","1213.240","1285.180","-0.077898"
"000001","1997-06","1302.820","1369.510","1154.970","1250.270","-0.027164"
"000001","1997-07","1255.910","1261.570","1066.040","1189.760","-0.048398"
"000001","1997-08","1191.650","1223.070","1116.150","1221.060","0.026308"
"000001","1997-09","1224.180","1264.490","1025.130","1097.380","-0.101289"
"000001","1997-10","1100.700","1241.830","1087.020","1180.390","0.075644"
"000001","1997-11","1181.160","1213.230","1114.140","1139.630","-0.034531"
"000001","1997-12","1137.590","1198.970","1119.200","1194.100","0.047796"
"000001","1998-01","1200.950","1250.010","1110.090","1222.910","0.024127"
"000001","1998-02","1257.990","1262.620","1189.520","1206.530","-0.013394"
"000001","1998-03","1196.740","1252.240","1175.550","1243.020","0.030244"
"000001","1998-04","1243.370","1343.460","1240.060","1343.450","0.080795"
"000001","1998-05","1353.060","1411.350","1324.720","1411.210","0.050437"
"000001","1998-06","1418.350","1422.980","1323.530","1339.200","-0.051027"
"000001","1998-07","1363.270","1367.150","1278.300","1316.920","-0.016637"
"000001","1998-08","1315.140","1315.470","1043.020","1150.220","-0.126583"
"000001","1998-09","1142.500","1264.400","1123.640","1242.900","0.080576"
"000001","1998-10","1245.740","1263.710","1191.560","1217.320","-0.020581"
"000001","1998-11","1217.340","1300.150","1210.850","1247.420","0.024726"
"000001","1998-12","1249.010","1251.870","1125.560","1146.700","-0.080743"
"000001","1999-01","1144.890","1174.430","1104.500","1134.670","-0.010491"
"000001","1999-02","1131.650","1131.660","1064.170","1090.090","-0.039289"
"000001","1999-03","1092.150","1179.650","1084.160","1158.050","0.062343"
"000001","1999-04","1158.680","1210.100","1087.790","1120.930","-0.032054"
"000001","1999-05","1120.910","1303.480","1047.830","1279.330","0.141311"
"000001","1999-06","1283.300","1756.180","1259.010","1689.430","0.320558"
"000001","1999-07","1678.840","1678.840","1471.510","1601.460","-0.052071"
"000001","1999-08","1607.060","1658.690","1546.840","1627.120","0.016023"
"000001","1999-09","1627.820","1695.640","1556.740","1570.700","-0.034675"
"000001","1999-10","1568.240","1568.380","1452.710","1504.560","-0.042109"
"000001","1999-11","1501.730","1506.990","1427.360","1434.970","-0.046253"
"000001","1999-12","1434.980","1461.900","1341.050","1366.580","-0.047660"
"000001","2000-01","1368.690","1547.710","1361.210","1535.000","0.123242"
"000001","2000-02","1591.440","1770.880","1583.580","1714.580","0.116990"
"000001","2000-03","1720.600","1811.060","1596.070","1800.220","0.049948"
"000001","2000-04","1799.570","1858.270","1746.300","1836.320","0.020053"
"000001","2000-05","1848.170","1908.310","1695.530","1894.550","0.031710"
"000001","2000-06","1900.530","1953.340","1884.620","1928.110","0.017714"
"000001","2000-07","1917.440","2025.000","1888.250","2023.540","0.049494"
"000001","2000-08","2027.010","2114.520","1980.340","2021.200","-0.001156"
"000001","2000-09","2009.150","2026.350","1874.210","1910.160","-0.054938"
"000001","2000-10","1912.080","1980.630","1896.940","1961.290","0.026767"
"000001","2000-11","1961.080","2125.720","1959.720","2070.610","0.055739"
"000001","2000-12","2073.090","2097.290","2024.290","2073.480","0.001386"
"000001","2001-01","2077.080","2131.980","2007.710","2065.610","-0.003796"
"000001","2001-02","2069.860","2072.550","1893.780","1959.180","-0.051525"
"000001","2001-03","1959.010","2112.880","1953.720","2112.770","0.078395"
"000001","2001-04","2117.450","2179.740","2081.640","2119.180","0.003034"
"000001","2001-05","2119.900","2222.650","2119.890","2214.260","0.044866"
"000001","2001-06","2216.560","2245.440","2157.120","2218.030","0.001703"
"000001","2001-07","2220.420","2223.210","1909.300","1920.320","-0.134223"
"000001","2001-08","1925.240","1990.700","1795.570","1834.140","-0.044878"
"000001","2001-09","1831.700","1888.900","1750.760","1764.870","-0.037767"
"000001","2001-10","1766.130","1773.800","1514.860","1689.170","-0.042893"
"000001","2001-11","1692.350","1748.000","1550.460","1747.990","0.034822"
"000001","2001-12","1751.050","1776.020","1593.030","1645.970","-0.058364"
"000001","2002-01","1643.480","1643.500","1339.200","1491.670","-0.093744"
"000001","2002-02","1494.580","1544.920","1476.130","1524.700","0.022143"
"000001","2002-03","1521.530","1693.870","1494.830","1603.910","0.051951"
"000001","2002-04","1598.030","1680.300","1575.970","1667.750","0.039803"
"000001","2002-05","1669.870","1670.920","1506.540","1515.730","-0.091153"
"000001","2002-06","1510.250","1748.890","1455.310","1732.760","0.143185"
"000001","2002-07","1736.290","1741.920","1647.270","1651.590","-0.046844"
"000001","2002-08","1650.050","1696.280","1624.050","1666.620","0.009100"
"000001","2002-09","1666.340","1680.280","1577.530","1581.620","-0.051001"
"000001","2002-10","1577.050","1577.050","1488.680","1507.500","-0.046863"
"000001","2002-11","1507.380","1573.100","1353.140","1434.180","-0.048637"
"000001","2002-12","1432.030","1439.850","1348.710","1357.650","-0.053362"
"000001","2003-01","1347.430","1508.590","1311.680","1499.820","0.104718"
"000001","2003-02","1499.170","1524.750","1474.470","1511.930","0.008074"
"000001","2003-03","1511.590","1529.750","1447.010","1510.580","-0.000893"
"000001","2003-04","1513.000","1649.600","1473.270","1521.440","0.007189"
"000001","2003-05","1522.980","1581.610","1477.250","1576.260","0.036032"
"000001","2003-06","1577.990","1582.410","1483.690","1486.020","-0.057249"
"000001","2003-07","1485.520","1540.190","1464.870","1476.740","-0.006245"
"000001","2003-08","1476.470","1497.100","1406.680","1421.980","-0.037082"
"000001","2003-09","1423.350","1456.550","1348.220","1367.160","-0.038552"
"000001","2003-10","1366.200","1411.880","1334.780","1348.300","-0.013795"
"000001","2003-11","1346.480","1423.580","1307.400","1397.230","0.036290"
"000001","2003-12","1398.710","1525.300","1398.710","1497.040","0.071434"
"000001","2004-01","1492.720","1634.410","1491.690","1590.730","0.062583"
"000001","2004-02","1630.650","1730.280","1585.960","1675.070","0.053020"
"000001","2004-03","1676.220","1760.080","1634.710","1741.620","0.039730"
"000001","2004-04","1744.710","1783.010","1572.230","1595.590","-0.083847"
